DOR Code,Municipality,County,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernment,Other Expenses,Debt Service
001,Abington,PLYMOUTH,"2,719,438","4,489,687","4,230,218","375,118","31,187,061","3,383,606","638,865","898,835","11,424,438","1,420,301","31,594","4,433,937"
002,Acton,MIDDLESEX,"7,690,923","4,811,916","3,980,518","1,226,992","74,954,556","3,700,889","1,994,054","1,763,155","10,076,253","341,126","52,190","1,384,329"
003,Acushnet,BRISTOL,"1,830,369","2,854,597","1,834,616","211,973","18,286,266","2,585,840","471,798","382,275","4,229,638","529,856","105,909","465,434"
004,Adams,BERKSHIRE,"2,113,923","2,012,567","13,061","239,134","7,505,004","2,070,246","363,639","583,792","2,611,937","58,222",0,"557,829"
005,Agawam,HAMPDEN,"8,967,396","6,185,891","4,705,364","390,794","49,364,847","6,476,937","1,687,559","1,482,086","11,363,513","2,145,320","1,459","1,817,460"
006,Alford,BERKSHIRE,"285,444","32,614","39,970","21,228","476,809","897,044","51,513","8,824","173,189",414,0,"215,631"
007,Amesbury,ESSEX,"3,029,649","4,967,007","4,392,826","383,842","39,394,508","4,169,355","924,362","948,256","7,321,223","4,217,327","8,800","3,923,638"
008,Amherst,HAMPSHIRE,"5,044,064","5,469,729","4,975,320","2,104,279","44,020,309","1,953,234","643,077","3,723,757","11,976,517","3,528,490",0,"815,732"
009,Andover,ESSEX,"13,880,573","8,795,752","10,280,166","1,179,794","100,503,026","8,719,479","1,188,253","6,095,687","8,933,995","786,292","709,641","25,150,077"
010,Arlington,MIDDLESEX,"8,384,769","9,614,343","8,810,511","511,716","98,738,122","11,605,875","1,547,757","2,692,273","37,821,263","3,958,930",0,"23,737,977"
011,Ashburnham,WORCESTER,"1,543,359","1,822,233","1,003,307","307,955","8,798,615","1,631,709","146,025","280,298","1,652,703","52,736","130,850","1,534,569"
012,Ashby,MIDDLESEX,"721,795","984,096","408,696","272,567","5,157,808","924,690","82,743","121,263","837,825","28,046","27,994","262,801"
013,Ashfield,FRANKLIN,"499,539","252,842","172,588","130,379","2,820,107","980,310","67,750","153,955","305,677","47,514",0,"515,944"
014,Ashland,MIDDLESEX,"4,338,959","4,319,939","2,903,654","210,008","41,686,416","2,154,292","259,119","945,748","12,058,590","415,232",0,"6,907,305"
015,Athol,WORCESTER,"1,905,690","2,610,830","2,567,190","417,992","5,444,148","2,079,922","516,885","743,908","4,725,498","151,190","1,279,175","1,959,651"
016,Attleboro,BRISTOL,"6,524,638","10,719,019","11,682,920","659,578","85,395,655","3,312,733","4,885,384","3,801,105","9,795,128","4,963,169",0,"11,377,091"
017,Auburn,WORCESTER,"7,405,160","5,261,557","5,317,640","1,338,533","31,790,594","4,946,848","1,146,221","884,427","6,264,627","618,067","1,256,644","5,095,983"
018,Avon,NORFOLK,"2,452,741","2,689,087","2,436,983","236,745","11,249,995","3,283,309","432,746","609,633","5,713,626","519,903","149,757","1,938,290"
019,Ayer,MIDDLESEX,"2,418,259","2,518,423","2,222,339","828,739","14,691,738","1,672,087","403,093","909,877","4,452,584","2,961","-1,190,698","863,277"
020,Barnstable,BARNSTABLE,"15,265,444","17,886,488",0,"2,781,853","87,161,902","6,045,506","2,060,942","4,487,985","26,966,424","14,192,091",0,"7,224,889"
021,Barre,WORCESTER,"1,108,255","1,022,175","304,736","1,031,053","6,878,719","673,307","246,753","396,371","1,249,566","23,660",0,"533,028"
022,Becket,BERKSHIRE,"930,927","516,620","628,940","64,613","3,207,379","1,394,518","64,631","137,166","921,037","2,997",0,"369,225"
023,Bedford,MIDDLESEX,"8,103,027","4,724,855","3,504,292","33,612","49,429,316","15,568,923","1,487,487","1,566,999","14,972,767","440,116",0,"10,874,539"
024,Belchertown,HAMPSHIRE,"3,397,011","2,568,715","2,258,945","309,452","29,321,093","2,129,395","830,737","976,134","10,475,891","1,938,319","77,669","932,149"
025,Bellingham,NORFOLK,"4,409,126","4,491,499","4,081,769","549,940","35,682,158","2,812,447","564,614","1,015,102","4,739,050","4,439,603",0,"3,669,974"
026,Belmont,MIDDLESEX,"13,957,544","7,558,488","6,176,004","607,623","63,001,849","7,270,729","837,833","4,251,023","11,197,816","2,220,669",0,"14,626,779"
027,Berkley,BRISTOL,"776,576","1,887,394","373,953","990,113","15,703,799","1,056,966","79,912","168,775","1,596,031","197,863","106,478","514,488"
028,Berlin,WORCESTER,"1,584,445","1,347,877","1,210,971","419,368","9,407,859","711,440","96,604","227,022","1,391,562","46,273","49,790","291,175"
029,Bernardston,FRANKLIN,"394,756","451,689","132,430","49,311","3,450,211","636,012","119,926","96,705","357,477","12,133","65,598","52,710"
030,Beverly,ESSEX,"7,583,287","10,421,182","8,498,590","1,488,706","76,079,317","5,253,879","1,996,270","3,956,505","13,982,541","2,196,751",0,"7,927,474"
031,Billerica,MIDDLESEX,"7,776,156","8,534,042","9,616,382","3,096,285","86,958,054","11,325,772","1,293,898","3,182,614","21,938,582","5,937,991",0,"7,466,643"
032,Blackstone,WORCESTER,"2,195,254","2,024,135","1,882,454","884,495","12,669,762","3,556,736","515,993","811,647","2,047,821","44,648","2,349","1,156,866"
033,Blandford,HAMPDEN,"582,752",0,"98,238","131,207","1,726,315","833,122","119,526","99,231","352,572","9,183",0,"390,910"
034,Bolton,WORCESTER,"1,638,828","1,598,984","987,113","616,296","18,724,038","1,794,640","231,933","613,776","1,774,953","74,144",0,"865,199"
